id	name	weight	volume	type
M4XBI	Bottled Products	3669	3.6690	Normal
T5bN8	Chemicals	275	0.2750	Dangerous
Ir9iQ	Machinery	42157	84.3140	Normal
6SRgY	Chemicals	321	0.3210	Dangerous
XxibO	Bottled Products	7493	7.4930	Normal
aNKHt	Home Appliances	55166	55.1660	Normal
ZgYjF	Bottled Beverages	10391	10.3910	Normal
JNb5d	Electronics	725	0.3625	Normal
dWNEv	Arts and Crafts	78	0.0780	Delicate
Lt6U9	Automobile Parts	19150	38.3000	Normal
jZRtv	Bottled Products	906	0.9060	Normal
AhGvz	Medical Equipment	935	1.8700	Delicate
61W9v	Automobile Parts	17123	34.2460	Normal
j1zDd	Apparel	751	0.1502	Normal
ExFAw	Medical Equipment	757	1.5140	Delicate
T6cLs	Apparel	190	0.0380	Normal
DOlaH	Food	7256	5.8048	Normal
A6KRn	Apparel	327	0.0654	Normal
PuN38	Medical Equipment	209	0.4180	Delicate
o03Zp	Delicate Machinery	40220	80.4400	Delicate
U1XtB	Apparel	38	0.0076	Normal
TZFen	Arts and Crafts	148	0.1480	Delicate
9K8tJ	Medical Equipment	920	1.8400	Delicate
NjYhR	Bottled Products	8461	8.4610	Normal
WmrRg	Bottled Beverages	10946	10.9460	Normal
tPj6W	Home Appliances	78994	78.9940	Normal
UFLMZ	Automobile Parts	10618	21.2360	Normal
3hyTw	Medical Equipment	2239	4.4780	Delicate
Z6zwA	Electronics	183	0.0915	Normal
R8imK	Automobile Parts	19474	38.9480	Normal
l6pKP	Home Appliances	55393	55.3930	Normal
nIuvc	Food	12280	9.8240	Normal
ZHob0	Bottled Beverages	3484	3.4840	Normal
LG1Dy	Automobile Parts	1753	3.5060	Normal
P62AT	Apparel	389	0.0778	Normal
1MOwi	Medical Equipment	459	0.9180	Delicate
agwM5	Apparel	662	0.1324	Normal
CrBLs	Automobile Parts	20426	40.8520	Normal
uJptB	Arts and Crafts	537	0.5370	Delicate
rTkC3	Automobile Parts	8793	17.5860	Normal
Zxb1a	Electronics	910	0.4550	Normal
Ohx7A	Furniture	8791	8.7910	Normal
hKNtv	Home Appliances	97087	97.0870	Normal
J7XeM	Apparel	850	0.1700	Normal
eKLJ9	Medical Equipment	10	0.0200	Delicate
nZkat	Electronics	417	0.2085	Normal
qkawH	Chemicals	337	0.3370	Dangerous
6mgPW	Bottled Products	5859	5.8590	Normal
f2BKR	Food	1806	1.4448	Normal
gGOcS	Food	12996	10.3968	Normal
RXxWy	Arts and Crafts	253	0.2530	Delicate
VOlKF	Medical Equipment	747	1.4940	Delicate
aV9ik	Food	1786	1.4288	Normal
OZq7u	Bottled Beverages	11842	11.8420	Normal
vXr2x	Electronics	485	0.2425	Normal
wYoCV	Food	19068	15.2544	Normal
iJPYu	Machinery	82004	164.0080	Normal
32vrc	Arts and Crafts	113	0.1130	Delicate
5QiI2	Machinery	16044	32.0880	Normal
lmdsU	Home Appliances	27219	27.2190	Normal
5tRqe	Automobile Parts	14715	29.4300	Normal
Emkj5	Machinery	98394	196.7880	Normal
FxtU0	Home Appliances	43507	43.5070	Normal
ZHlLJ	Food	734	0.5872	Normal
A7lf9	Delicate Machinery	10903	21.8060	Delicate
R3n9W	Delicate Machinery	48971	97.9420	Delicate
3QrMP	Delicate Machinery	8563	17.1260	Delicate
PuChU	Automobile Parts	17334	34.6680	Normal
YmseK	Bottled Products	6888	6.8880	Normal
8dCjX	Furniture	7420	7.4200	Normal
3stZ7	Medical Equipment	2265	4.5300	Delicate
IlON6	Apparel	938	0.1876	Normal
lrt9u	Bottled Products	5884	5.8840	Normal
PAd3l	Chemicals	436	0.4360	Dangerous
f67SD	Food	24857	19.8856	Normal
G5I1x	Bottled Products	8589	8.5890	Normal
dPNRv	Bottled Beverages	8809	8.8090	Normal
oNzTh	Arts and Crafts	381	0.3810	Delicate
6zMa0	Home Appliances	79703	79.7030	Normal
VsBkR	Delicate Machinery	30400	60.8000	Delicate
HJdbx	Food	4042	3.2336	Normal
iJsdR	Machinery	36480	72.9600	Normal
o3qQW	Arts and Crafts	242	0.2420	Delicate
cLTRO	Bottled Products	6945	6.9450	Normal
m9Uaq	Arts and Crafts	567	0.5670	Delicate
aeBMu	Chemicals	77	0.0770	Dangerous
ctfQe	Medical Equipment	2481	4.9620	Delicate
s25Et	Delicate Machinery	43312	86.6240	Delicate
lr3KM	Delicate Machinery	7731	15.4620	Delicate
CVgUz	Delicate Machinery	13491	26.9820	Delicate
Ma2yQ	Bottled Products	3749	3.7490	Normal
ryP1a	Automobile Parts	24309	48.6180	Normal
d7Rof	Electronics	123	0.0615	Normal
5upQc	Automobile Parts	18319	36.6380	Normal
1eYqA	Bottled Products	4066	4.0660	Normal
GIAie	Delicate Machinery	19530	39.0600	Delicate
sHBJo	Apparel	563	0.1126	Normal
IQ0sb	Medical Equipment	2343	4.6860	Delicate
407wV	Chemicals	402	0.4020	Dangerous
GwExy	Food	3651	2.9208	Normal
uQcaz	Chemicals	459	0.4590	Dangerous
r8VuW	Automobile Parts	1918	3.8360	Normal
lUwLs	Medical Equipment	275	0.5500	Delicate
mFX3n	Apparel	632	0.1264	Normal
4ULqs	Home Appliances	80638	80.6380	Normal
u4TwP	Bottled Beverages	13002	13.0020	Normal
HFiAP	Electronics	942	0.4710	Normal
o7miW	Automobile Parts	20906	41.8120	Normal
fpAZs	Medical Equipment	1571	3.1420	Delicate
GxwT5	Medical Equipment	2159	4.3180	Delicate
pGPHs	Bottled Beverages	7328	7.3280	Normal
emSoQ	Electronics	285	0.1425	Normal
fpWsq	Bottled Products	3259	3.2590	Normal
pwTG1	Automobile Parts	22901	45.8020	Normal
xI7Gn	Medical Equipment	141	0.2820	Delicate
qj2tb	Arts and Crafts	967	0.9670	Delicate
tvr83	Chemicals	424	0.4240	Dangerous
TuVQo	Machinery	18812	37.6240	Normal
oJnlc	Bottled Products	3887	3.8870	Normal
omNHU	Machinery	41096	82.1920	Normal
6B5Us	Electronics	714	0.3570	Normal
9qNn4	Machinery	8864	17.7280	Normal
xCRUT	Furniture	12261	12.2610	Normal
S492F	Machinery	92574	185.1480	Normal
YeDGq	Chemicals	377	0.3770	Dangerous
XzcGo	Apparel	321	0.0642	Normal
HbK4T	Apparel	155	0.0310	Normal
gOtJs	Machinery	79771	159.5420	Normal
YfL2A	Furniture	7494	7.4940	Normal
OPYZ1	Arts and Crafts	917	0.9170	Delicate
1t9xM	Automobile Parts	14484	28.9680	Normal
1mxyi	Medical Equipment	2466	4.9320	Delicate
AWDIP	Delicate Machinery	21366	42.7320	Delicate
qlaGs	Bottled Products	4053	4.0530	Normal
NwPAn	Bottled Products	1780	1.7800	Normal
GfZFI	Delicate Machinery	38449	76.8980	Delicate
oWT5a	Chemicals	389	0.3890	Dangerous
enjXl	Food	12625	10.1000	Normal
cBO7N	Medical Equipment	1966	3.9320	Delicate
kHVes	Electronics	178	0.0890	Normal
xVdrK	Electronics	30	0.0150	Normal
6LVqQ	Machinery	23653	47.3060	Normal
pByF2	Arts and Crafts	954	0.9540	Delicate
eVRsO	Automobile Parts	14017	28.0340	Normal
GpEP4	Bottled Products	8452	8.4520	Normal
JcPFB	Food	20700	16.5600	Normal
tj7Lh	Bottled Products	3358	3.3580	Normal
TGHhw	Electronics	507	0.2535	Normal
4CKW1	Apparel	240	0.0480	Normal
QGdWf	Automobile Parts	3730	7.4600	Normal
fYKMr	Bottled Products	7782	7.7820	Normal
cuJHm	Chemicals	293	0.2930	Dangerous
lQFcY	Home Appliances	5233	5.2330	Normal
GDt6r	Food	4913	3.9304	Normal
j1w6c	Food	11442	9.1536	Normal
BibLm	Furniture	378	0.3780	Normal
MTFr0	Automobile Parts	3644	7.2880	Normal
wJY8r	Automobile Parts	21085	42.1700	Normal
XICtw	Furniture	14042	14.0420	Normal
yNjAk	Bottled Products	245	0.2450	Normal
LE8qw	Furniture	14593	14.5930	Normal
x3Y6i	Automobile Parts	18805	37.6100	Normal
jv6gI	Bottled Products	5041	5.0410	Normal
3avDG	Bottled Products	5299	5.2990	Normal
BhWYd	Machinery	85900	171.8000	Normal
J7QgL	Electronics	497	0.2485	Normal
cOlwt	Bottled Products	5251	5.2510	Normal
A5zWN	Machinery	98487	196.9740	Normal
yi06F	Machinery	72443	144.8860	Normal
Bz8e2	Automobile Parts	2471	4.9420	Normal
pteH7	Bottled Products	805	0.8050	Normal
wWMLq	Home Appliances	71490	71.4900	Normal
PxvVu	Automobile Parts	2009	4.0180	Normal
5BVte	Chemicals	152	0.1520	Dangerous
MhHqk	Home Appliances	11734	11.7340	Normal
x4Cmc	Arts and Crafts	590	0.5900	Delicate
zxfnw	Apparel	991	0.1982	Normal
hyT9R	Home Appliances	63875	63.8750	Normal
dnAlc	Automobile Parts	23464	46.9280	Normal
u8p3y	Machinery	56288	112.5760	Normal
7RKO1	Food	6457	5.1656	Normal
zvc1p	Electronics	161	0.0805	Normal
U7THP	Machinery	38652	77.3040	Normal
nRM6o	Delicate Machinery	47422	94.8440	Delicate
afwIc	Delicate Machinery	8749	17.4980	Delicate
XdfmK	Chemicals	44	0.0440	Dangerous
WcwBy	Delicate Machinery	39938	79.8760	Delicate
jZcem	Chemicals	188	0.1880	Dangerous
nRhEi	Bottled Beverages	2893	2.8930	Normal
4IFSl	Home Appliances	96378	96.3780	Normal
ufndl	Apparel	757	0.1514	Normal
987zV	Apparel	445	0.0890	Normal
ZE2JY	Arts and Crafts	387	0.3870	Delicate
gvQO0	Home Appliances	38331	38.3310	Normal
CJMGP	Chemicals	467	0.4670	Dangerous
M7Cft	Home Appliances	31036	31.0360	Normal
VYBmE	Electronics	56	0.0280	Normal
tY6pl	Arts and Crafts	961	0.9610	Delicate
RIEyC	Apparel	585	0.1170	Normal
n7oxA	Bottled Products	3346	3.3460	Normal
hv6Jd	Home Appliances	69150	69.1500	Normal
1O7xV	Bottled Products	9076	9.0760	Normal
Ve4MK	Automobile Parts	15290	30.5800	Normal
gGyQu	Bottled Beverages	300	0.3000	Normal
tCc6I	Bottled Beverages	14282	14.2820	Normal
XHwfg	Home Appliances	59414	59.4140	Normal
h4xJV	Arts and Crafts	580	0.5800	Delicate
OCDgZ	Machinery	37208	74.4160	Normal
IVkza	Food	13133	10.5064	Normal
ZEgV6	Furniture	2373	2.3730	Normal
iNB5I	Automobile Parts	8101	16.2020	Normal
F2nyg	Bottled Products	1357	1.3570	Normal
mZjwA	Machinery	28484	56.9680	Normal
Q8z5I	Automobile Parts	16157	32.3140	Normal
kvy0O	Automobile Parts	23686	47.3720	Normal
BVxja	Machinery	23418	46.8360	Normal
fDrQw	Food	22934	18.3472	Normal
r09pu	Delicate Machinery	7697	15.3940	Delicate
qQ5LW	Arts and Crafts	29	0.0290	Delicate
GQYeE	Electronics	464	0.2320	Normal
fRVPN	Arts and Crafts	976	0.9760	Delicate
rfVGx	Arts and Crafts	725	0.7250	Delicate
ErNWa	Electronics	433	0.2165	Normal
XMNfH	Machinery	42510	85.0200	Normal
Wl40c	Chemicals	109	0.1090	Dangerous
nMZ2e	Automobile Parts	23264	46.5280	Normal
6rN08	Home Appliances	38244	38.2440	Normal
YsWN0	Bottled Beverages	13819	13.8190	Normal
JinwK	Medical Equipment	1315	2.6300	Delicate
q45H2	Machinery	2783	5.5660	Normal
uB3IC	Medical Equipment	2023	4.0460	Delicate
whFD9	Food	21619	17.2952	Normal
W6flC	Apparel	377	0.0754	Normal
UoRjV	Medical Equipment	1851	3.7020	Delicate
IG2rZ	Delicate Machinery	9217	18.4340	Delicate
2CGMi	Bottled Products	8609	8.6090	Normal
LIWiH	Electronics	168	0.0840	Normal
7OykX	Chemicals	52	0.0520	Dangerous
JP3dS	Automobile Parts	6320	12.6400	Normal
4B9wN	Apparel	177	0.0354	Normal
iCdq7	Automobile Parts	5393	10.7860	Normal
WPy1C	Home Appliances	31874	31.8740	Normal
Pfe30	Home Appliances	46038	46.0380	Normal
A6Hmi	Delicate Machinery	6917	13.8340	Delicate
vsFcA	Apparel	34	0.0068	Normal
IHFRT	Chemicals	376	0.3760	Dangerous
ptwHf	Medical Equipment	1750	3.5000	Delicate
d8FQj	Chemicals	35	0.0350	Dangerous
kL4sw	Electronics	393	0.1965	Normal
Fz0Ay	Furniture	6147	6.1470	Normal
qMx9v	Chemicals	171	0.1710	Dangerous
0mNen	Automobile Parts	18515	37.0300	Normal
7oDfN	Bottled Products	7839	7.8390	Normal
WEPIK	Bottled Beverages	10182	10.1820	Normal
6CI2F	Apparel	260	0.0520	Normal
tWB82	Delicate Machinery	48489	96.9780	Delicate
dyqXk	Arts and Crafts	400	0.4000	Delicate
O0CLy	Food	4335	3.4680	Normal
FZVI6	Apparel	275	0.0550	Normal
sLuaO	Home Appliances	21788	21.7880	Normal
J0wIr	Home Appliances	39147	39.1470	Normal
KOr81	Medical Equipment	758	1.5160	Delicate
bfCt4	Medical Equipment	82	0.1640	Delicate
pLtox	Automobile Parts	7436	14.8720	Normal
35m1K	Automobile Parts	6027	12.0540	Normal
PQOn0	Electronics	848	0.4240	Normal
pPRhm	Bottled Beverages	11942	11.9420	Normal
6yzDO	Automobile Parts	22093	44.1860	Normal
pqmJd	Automobile Parts	22032	44.0640	Normal
sOiC4	Machinery	5308	10.6160	Normal
im3jy	Apparel	172	0.0344	Normal
260Xy	Bottled Beverages	13811	13.8110	Normal
IoP3y	Bottled Beverages	4783	4.7830	Normal
0l6zH	Food	22868	18.2944	Normal
efAFx	Chemicals	160	0.1600	Dangerous
KlV1c	Apparel	661	0.1322	Normal
4KIsR	Furniture	1270	1.2700	Normal
aQSto	Machinery	263	0.5260	Normal
DRLsw	Medical Equipment	603	1.2060	Delicate
40u7N	Chemicals	375	0.3750	Dangerous
Tlerq	Bottled Products	9346	9.3460	Normal
mdLH9	Machinery	29332	58.6640	Normal
JmlFd	Bottled Products	5999	5.9990	Normal
i5oXt	Bottled Products	8130	8.1300	Normal
jzu2V	Medical Equipment	2013	4.0260	Delicate
8rgv5	Chemicals	18	0.0180	Dangerous
64e58	Chemicals	226	0.2260	Dangerous
LhemD	Machinery	16624	33.2480	Normal
KdOo6	Delicate Machinery	24084	48.1680	Delicate
VN6UP	Bottled Products	8472	8.4720	Normal
hldfD	Bottled Products	5371	5.3710	Normal
pjWsC	Bottled Products	1828	1.8280	Normal
OnWLy	Bottled Beverages	10638	10.6380	Normal
IfWkC	Bottled Beverages	1354	1.3540	Normal
Wt4Ii	Delicate Machinery	18487	36.9740	Delicate
fNwtH	Bottled Products	8130	8.1300	Normal
JCQi1	Delicate Machinery	44962	89.9240	Delicate
yuN26	Machinery	48888	97.7760	Normal
dY6Wz	Electronics	938	0.4690	Normal
PIpux	Bottled Beverages	370	0.3700	Normal
JV5Tz	Delicate Machinery	38168	76.3360	Delicate
mbQLD	Medical Equipment	2451	4.9020	Delicate
tkfuH	Electronics	611	0.3055	Normal
zClFb	Chemicals	441	0.4410	Dangerous
ONDbJ	Bottled Beverages	12522	12.5220	Normal
HTfql	Delicate Machinery	16109	32.2180	Delicate
sipEF	Apparel	217	0.0434	Normal
ln4LU	Bottled Beverages	6318	6.3180	Normal
wdAbm	Automobile Parts	19346	38.6920	Normal
UcYGg	Automobile Parts	2762	5.5240	Normal
7hcEm	Furniture	4025	4.0250	Normal
wG8a9	Electronics	126	0.0630	Normal
